Keyword,Attribute,Actual Attribute,Pros,Cons
touch,Sensitivity,Sensitivity,Touch screen is highly sensitive and responsive,Touch is not sensitive 
smooth ,Display,Display,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
touch,Smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
windows,Price,,,
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
Android,Apps,Apps,Apps,Apps
Screen,Scratch Resistant,,Scratch Resistant,Scratch Resistant
operating ,hit,hit,,
operating ,system,system,system,system
smooth ,Operations,Operations,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
games,Smooth,Smooth,Excellent for gaming,Not good for gaming
video,Smooth,,Smooth and clear  video recording quality ,Video recording quality not good
videos,Smooth,,Smooth and clear  video recording quality ,Video recording quality not good
image,Processing,Processing,Camera and picture quality is good,Camera and picture quality is poor
image,Low Light,Low Light,Low light performance is cool,Low light image quality is poor
software,Apps,Apps,Apps,Apps
Android,Apps,Apps,Smooth,Apps
features,Screen,Screen,Smooth,
features,GPS,GPS,Smooth,GPS
day,Pictures,day light,Day light picture quality is superb,day light picture quality is poor
day,light,day light,Day light picture quality is superb,day light picture quality is poor
video,Recording,Recording,Smooth and clear  video recording quality ,Video recording quality not good
video,Quality,Quality,Smooth and clear  video recording quality ,Video recording quality not good
video ,Quality,Quality,Smooth and clear  video recording quality ,Video recording quality not good
video ,recording,Recording,Smooth and clear  video recording quality ,Video recording quality not good
memory ,Expanded,Expandable,Expandable memory,No expandable memory
body,Design,Design,Awesome looks and design,Design and looks not good
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
Camera,Night,Night,Low light performance is cool,Low light image quality is poor
operating ,Smooth,Smooth,,
operating ,system,system,system,system
Screen,Size,Size,Screen size is perfect,Screen size is not ok
Size,Small,Small,Screen size is perfect,Screen size is small
Ram,Less,,,
fast,Processor,Processor,Processor,Processor
sound,Quality,Quality,Good sound quality,Poor sound quality
Price,Snapdeal,Snapdeal,It's worth the price,It's not worth the price
music,Quality,Quality,Music sound quality is awesome,Music sound quality is poor
Camera,Flash,Flash,Flash performance is good,Poor flash quality
fast,Processing,Processor,Processor,Processor
video,Clarity,Clarity,Smooth and clear  video recording quality ,Video recording quality not good
touch,Gaming,,Touch is smooth while gaming,Not good touch experience while gaming
clarity,Zooming,zoom,Camera and picture quality is good,Camera and picture quality is poor
Camera,Smartcam,Smartcam,Camera and picture quality is good,Camera and picture quality is poor
Bluetooth,Transfer,Transfer,Fast bluetooth sharing,Bluetooth range and sharing is slow
touch,Capacity,,Capacitive touch is great,Capacitive touch is slow
interface,Looks,Looks,Looks,Looks
touch,Responsive,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
Camera,Resolution,Resolution,Good image Resolution,Image Resolution  is poor
smooth ,Screen,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
smooth ,Capacitive,Capacitive,Capacitive touch is great,Capacitive touch is slow
touch,Sensitive,Sensitivity,Touch screen is highly sensitive and responsive,Touch is not sensitive 
Design,Smooth,Smooth,Awesome looks and design,Design and looks not good
memory ,Extended,Expandable,Expandable memory,No expandable memory
connectivity,GPRS,GPRS,No issues in GPS,GPS problems
fast,Speed,Speed,Speed,Speed
picture,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
Camera,Lenses,Lenses,Good lens quality,Poor lens quality
fast,OS,OS,OS,OS
windows,Apps,Apps,Apps,Apps
charging,lasts,lasts,Good battery Life,Poor battery life
picture,Clear,Clarity,Camera and picture quality is good,Camera and picture quality is poor
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
Display,Resolution,Resolution,Display resolution is great,Display resolution is not so good
Screen,Resolution,Resolution,Good screen resolution and display,Screen resolution and display is poor
connectivity,Slow,Slow,Internet speed is good,Browsing is slow
internet,Connectivity,Connectivity,No issues in browsing and internet connectivity,Browsing and connectivity problems
video,Smoothly,,Smooth and clear  video recording quality ,Video recording quality not good
memory ,Limitaions,Less,,Low memory space
performance,Smooth,Smooth,Nice performance,
browsing,Fast,Fast,Internet speed is good,Browsing is slow
smooth ,Operation,Operations,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
touch,Sensitive,Sensitivity,Touch screen is highly sensitive and responsive,Touch is not sensitive 
music,Equalizer,Equalizer,Equalizer,Equalizer
internal,Space,Space,Space,Space
internal,memory,memory,memory,memory
memory ,Space,space,space,space
memory,quite,sufficient,sufficient,sufficient
memory,space,space,space,space
windows,User friendly,UI,UI,UI
Camera,Buttons,Buttons,,
Camera,Defective,Defective,Camera and picture quality is good,Camera and picture quality is poor
Display,Quality,Clear,Suberb display clarity,Display quality not good
windows,Options,,,
cheap,Price,Price,It's worth the price,It's not worth the price
picture,Shots,Shots,Camera and picture quality is good,Camera and picture quality is poor
Android,Stable,,,
build,Quality,Quality,Good body built quality,Body built not good
build,Quality,Quality,Good body built quality,Body built not good
operating ,improvements,improvements,,
operating ,system,system,system,system
windows,Operating System,OS,OS,OS
video,HD,HD,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
videos,HD,HD,Smooth and clear  video recording quality ,Video recording quality not good
Audio,Quality,Quality,Good sound quality,Poor sound quality
Camera,Panaroma,Panaroma,Panaroma picture qulaity is superb,Panaroma picture quality is bad
Camera,Cinemagraph,Cinemagraph,Camera and picture quality is good,Camera and picture quality is poor
features,Panaroma,Panaroma,Panaroma,Panaroma
features,Cinemagraph,Cinemagraph,Cinemagraph,Cinemagraph
expandable,64 GB,64 GB,64 GB,64 GB
storage,Expandabale,Expandabale,Expandabale,Expandabale
day,good,good,Day light picture quality is superb,day light picture quality is poor
day,light,day light,Day light picture quality is superb,day light picture quality is poor
Touch ,sensitivity,Sensitivity,Touch screen is highly sensitive and responsive,Touch is not sensitive 
Display,Crisp,Clear,Suberb display clarity,Display quality not good
Display,Sharp,Clear,Suberb display clarity,Display quality not good
touch,Sensitive,Sensitivity,Touch screen is highly sensitive and responsive,Touch is not sensitive 
microsoft,UI,UI,UI,UI
UI,Response,Responsive,Highly responsive and smooth UI,UI is not responsive and smooth
Screen,Clarity,Clarity,Good screen resolution and display,Screen resolution and display is poor
Screen,Sensitivity,Sensitivity,Touch is smooth and fast,Touch is not smooth
touch,Smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
windows,Clarity,,,
windows,OS,OS,OS,OS
connectivity,Speed,Fast,Internet speed is good,Browsing is slow
browsing,Superfast,Fast,Internet speed is good,Browsing is slow
music,App,App,Music app is cool,Music app is not good
video,Music App,,Music app is cool,Music app is not good
videos,Music App,,Music app is cool,Music app is not good
cheap,Snapdeal,Snapdeal,It's worth the price,It's not worth the price
affordable,Rate,Price,It's worth the price,It's not worth the price
Looks,Responsive,Responsive,Responsive,Responsive
video,Recording,Recording,Smooth and clear  video recording quality ,Video recording quality not good
video ,good,,Smooth and clear  video recording quality ,Video recording quality not good
video ,recording,Recording,Smooth and clear  video recording quality ,Video recording quality not good
video ,high,,Smooth and clear  video recording quality ,Video recording quality not good
windows,Apps,Apps,Apps,Apps
charging,Fast,Fast,Quick charging,Charging issues
build,Quality,Quality,Good body built quality,Body built not good
video, 720p,,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
stylish,Design,Design,Awesome looks and design,Design and looks not good
sound,Clarity,Clarity,Good sound quality,Poor sound quality
build,Quality,Quality,Good body built quality,Body built not good
built ,Robust,Robust,Good body built quality,Body built not good
built ,quality,Quality,Good body built quality,Body built not good
touch,Response,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
Apps,Smooth,Smooth,Apps run smoothly,Apps don't run smoothly and hangs
sound,Enhancement,Enhancement,Good sound quality,Poor sound quality
games,Paid,Paid,,
windows,Attractive,,,
microsoft,Operating System,Operating System,Operating System,Operating System
windows,Operating System,OS,OS,OS
sound,Audio,,Good sound quality,Poor sound quality
gaming,UI,UI,UI is cool for gaming,UI is not good for gaming
expandable,Memory,Memory,Memory,Memory
memory ,128 Gb,128 Gb,128 Gb,128 Gb
sound,Quality,Quality,Good sound quality,Poor sound quality
sound,Speaker,Speaker,Good sound quality,Poor sound quality
windows,Apps,Apps,Apps,Apps
windows,user interface,UI,UI,UI
snapdragon,Quad core,Quad core,Quad core,Quad core
snapdragon,Processor,Processor,Processor,Processor
video,HD,HD,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
videos,HD,HD,Smooth and clear  video recording quality ,Video recording quality not good
cheap,Price,Price,It's worth the price,It's not worth the price
headphone,Noise,Noise,Earphone Sound quality is superb,Earphone sound quality is poor
sound,Quality,Quality,Good sound quality,Poor sound quality
music,sake slider,sake slider,sake slider feature is cool,sake slider feature is bad
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
windows,Price,,,
video,Mx player,Mx player,Smooth and clear  video recording quality ,Video recording quality not good
videos,Mx player,Mx player,Smooth and clear  video recording quality ,Video recording quality not good
affordable,Price,Price,It's worth the price,It's not worth the price
snapdeal,Delivery,Delivery,Delivery,Delivery
video,Angles,,Smooth and clear  video recording quality ,Video recording quality not good
picture,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
snapdeal,Service,Service,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
touch,Handy,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
snapdeal,Delivery,Delivery,Quick Delivery,Delayed Delivery
snapdeal,Deliver,,Quick Delivery,Delayed Delivery
build,Quality,Quality,Good body built quality,Body built not good
internet,Speed,Speed,Internet speed is good,Browsing is slow
games,Update,Update,,
Ram,512 MB,,,
music,Sound,Quality,Music sound quality is awesome,Music sound quality is poor
gaming,Smooth,Smooth,Excellent for gaming,Not good for gaming
games,Sensitivity,Sensitivity,Excellent for gaming,Not good for gaming
touch,Smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
Screen,Brightness,Brightness,Screen colours and brighteness are good,Screen colours and brightness are dull
charging,Lasting,lasts,Good battery Life,Poor battery life
sound,Loud,,Good sound quality,Poor sound quality
Display,Clear,Clear,Suberb display clarity,Display quality not good
browsing,Contacts,Contacts,No problems in browsing through contacts,Difficulty in browsing through contacts
smooth ,Screen,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
touch,Responsive,Responsive,Touch screen is highly sensitive and responsive,Touch is not sensitive 
touch,Smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
applications,Support,Support,Apps run smoothly,Apps don't run smoothly and hangs
touch,Sensitivity,Sensitivity,Touch screen is highly sensitive and responsive,Touch is not sensitive 
quad core,Processor,Processor,Processor,Processor
quad core,Touch,,,
quad core,Sensitivity,,,
UI,Smooth,Smooth,Highly responsive and smooth UI,UI is not responsive and smooth
body,Quality,Quality,Good body built quality,Body built not good
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
windows,Apps,Apps,Apps,Apps
features,3G,3G,3G,3G
built ,quality,Quality,Good body built quality,Body built not good
video,Sound,,Sound of recorded videos are of good quality,Sound quality of videos not good
videos,Sound,,Sound of recorded videos are of good quality,Sound quality of videos not good
cheap,Price,Price,It's worth the price,It's not worth the price
back,Heated,Heat,Back never gets heated,Heating of back panel
back,panel,panel,Nice back panel,Back panel not good
memory ,Small,Less,,Low memory space
fast,Delivery,Delivery,Delivery,Delivery
Ios,lags,lags,No lag,lags
sound,Quality,Quality,Good sound quality,Poor sound quality
build,Quality,Quality,Good body built quality,Body built not good
build,Reliability,Quality,Good body built quality,Body built not good
cheap,Rate,Rate,It's worth the price,It's not worth the price
video,Transferred,,Video transfer and sharing is quick,Video transfer and sharing is slow
videos,Transferred,,Video transfer and sharing is quick,Video transfer and sharing is slow
build,Quality,Quality,Good body built quality,Body built not good
heavy,Weight,Weight,,Weight
delivered,Late,Delayed ,Quick Delivery,Delayed Delivery
build,Quality,Quality,Good body built quality,Body built not good
online,Price,,,
Camera,Back,Back,,
features,Business,Business,Business,Business
Camera,Low light,Low light,Low light performance is cool,Low light image quality is poor
snapdeal,Quality,,Perfect product delivered,Defective product delivered
touch,Quality,Quality,Quality,Quality
charging,Quick,Quick,Quick charging,Charging issues
cheap,Rate,Rate,It's worth the price,It's not worth the price
snapdeal,Delivery,Delivery,Quick Delivery,Delayed Delivery
Delivery,Quick,Quick,Quick Delivery,Delayed Delivery
snapdeal,Quick,Delivery,Quick Delivery,Delayed Delivery
Looks,Stylish,Stylish,Stylish,Not so stylish
hardware,Battery,Battery,,
speakers,Clear,Clear,Good sound quality,Poor sound quality
heavy,Aluminium,Body,,Body
sound,Quality,Quality,Good sound quality,Poor sound quality
build,Quality,Quality,Good body built quality,Body built not good
Price,Snapdeal,Snapdeal,It's worth the price,It's not worth the price
Display,Bright,Bright,Display brightness is perfect,Display brightness is not adequate
Display,Sunlight,Sunlight,Display brightness is perfect in sunlight,Display brightness is not adequate in sunlight
smooth ,Operation,Operations,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
Android,Connectivity,,,
storage,Expand,Expandabale,Expandabale,Expandabale
applications,Easy,Easy,Apps run smoothly,Apps don't run smoothly and hangs
applications,Ease,Easy,Apps run smoothly,Apps don't run smoothly and hangs
video,HD,HD,No issues in playing and recording HD videos,Video recording in HD mode is not up to the mark
videos,HD,HD,Smooth and clear  video recording quality ,Video recording quality not good
image,Clearer,Quality,Camera and picture quality is good,Camera and picture quality is poor
features,Autofocus,Auto focus,Auto focus,Auto focus
features,LED,LED,LED,LED
features,Flash,Flash,,
applications,Friendly,Easy,Apps run smoothly,Apps don't run smoothly and hangs
applications,Handy,Easy,Apps run smoothly,Apps don't run smoothly and hangs
snapdeal,Delivers,Delivery,Quick Delivery,Delayed Delivery
snapdeal,Quickly,Delivery,Quick Delivery,Delayed Delivery
build,Memory,Memory,,
games,Heat,heat,No heating issue while gaming,Phone gets heated while gaming
software,Upgrade,Upgrade,Upgrade,Upgrade
cheap,Price,Price,It's worth the price,It's not worth the price
cheap,Snapdeal,Snapdeal,It's worth the price,It's not worth the price
fast,Processor,Processor,Processor,Processor
sound,Quality,Quality,Good sound quality,Poor sound quality
touch,Display,Display,Display,Display
music,Quality,Quality,Music sound quality is awesome,Music sound quality is poor
video,Quality,Quality,Smooth and clear  video recording quality ,Video recording quality not good
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
sound,Quality,Quality,Good sound quality,Poor sound quality
sound,Earphone,Earphone,Earphone Sound quality is superb,Earphone sound quality is poor
sound,Crisp,Clarity,Good sound quality,Poor sound quality
cheap,Rate,Rate,It's worth the price,It's not worth the price
stylish,Finish,Finish,Stylish,Not so stylish
stylish,Color,Color,Stylish,Not so stylish
sound,Quality,Quality,Good sound quality,Poor sound quality
Screen,Resolution,Resolution,Good screen resolution and display,Screen resolution and display is poor
cheap,Snapdeal,Snapdeal,It's worth the price,It's not worth the price
durable,Lasts,Durable,Good body built quality,Body built not good
quad core,Processor,Processor,Processor,Processor
Apps,Smoothly,Smoothly,Apps run smoothly,Apps don't run smoothly and hangs
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
Ram,Apps,,,
Ram,Games,,,
Camera,Shot,Shot,Camera and picture quality is good,Camera and picture quality is poor
body,Back cover,Back cover,Nice back panel,Back panel not good
fast,Response,Response,Response,Response
Price,High,High,It's worth the price,It's not worth the price
smooth ,Multitasking,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
interface,Handy,Handy,UI is simple and smooth,UI is complicated and not smooth
delivered,on time,Quick,Quick Delivery,Delayed Delivery
snapdeal,purchase,,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
touch,HD,,Touch screen is highly sensitive and responsive,Touch is not sensitive 
touch,Resolution,Resolution,Resolution,Resolution
Delivery,Delay,Delayed ,Quick Delivery,Delayed Delivery
sound,Quality,Quality,Good sound quality,Poor sound quality
stylish,Sleek,Sleek,Sleek and slim,Heavy and big
Display,Fine,Fine,Suberb display clarity,Display quality not good
sound,Effective,,Good sound quality,Poor sound quality
sound,Loud,,Good sound quality,Poor sound quality
video,Clarity,Clarity,Smooth and clear  video recording quality ,Video recording quality not good
gaming,Zone,Zone,,
storage,Low,Low,,low internal memory
video,Calling,,Video calling is good enough,video calling not up to the mark
delivered,Time,Time,Quick Delivery,Delayed Delivery
games,Smoothly,Smooth,Excellent for gaming,Not good for gaming
headphone,Comfortable,Comfortable,Earphone Sound quality is superb,Earphone sound quality is poor
viewing ,angles,angles,Good display viewing angles,Display Viewing angles is poor
fast,Krait,Krait,Krait,Krait
Camera,Nice,Nice,Camera and picture quality is good,Camera and picture quality is poor
snapdeal,Specification,,Perfect product delivered,Defective product delivered
snapdeal,Service,Service,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
durable,Back cover,Durable,,Not durable
sensor,Map,Map,Map sensors,Map sensors
memory ,Free,Free,Free,Free
fast,Lag,Lag,,
features,Smooth,Smooth,,
body,Fine,Quality,Good body built quality,Body built not good
service,Perfect,,Perfect product delivered,Defective product delivered
Screen,Small,,Screen size is perfect,Screen size is small
picture,Clear,Clarity,Camera and picture quality is good,Camera and picture quality is poor
picture,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
delivered,Time,Time,Quick Delivery,Delayed Delivery
body,Scraches,Scraches,,
Ram,Enough,,,
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
stylish,Design,Design,Awesome looks and design,Design and looks not good
Screen,Nice,,Good screen resolution and display,Screen resolution and display is poor
hangs,Slowness,Slowness,No lagging problem,Phone lags
video,Clarity,Clarity,Smooth and clear  video recording quality ,Video recording quality not good
lag,Hang,Hang,No lagging problem,Phone lags
lag,Regular,Regular,No lagging problem,Phone lags
Game,Lag,lags,No hanging while gaming,Hangs while playing games
smooth ,Negligible,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
video,Conferncing,,Video confrencing is of good quality,video conferencing not too good
sound,Control,,,
online,Broken,,,
Flash,Powerful,Quality,Flash performance is good,Poor flash quality
picture,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
Display,Perfect,Perfect,Suberb display clarity,Display quality not good
clarity,Nice,Nice,Camera and picture quality is good,Camera and picture quality is poor
features,Camera,Camera,,
features,Clarity,Clarity,,
Camera,Sharp,Sharp,Camera and picture quality is good,Camera and picture quality is poor
Camera,Clarity,Clarity,Camera and picture quality is good,Camera and picture quality is poor
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
music,Low,Low,Music sound quality is awesome,Music sound quality is poor
fast,Application,Application,Application,Application
video,Bright,Bright,Video brightness and colours are also good,Video brightness not so good
video,Coloured,,Video brightness and colours are also good,Video brightness not so good
videos,Bright,Bright,Video brightness and colours are also good,Video brightness not so good
videos,Coloured,,Video brightness and colours are also good,Video brightness not so good
viewing ,angles,angles,Good display viewing angles,Display Viewing angles is poor
viewing ,good,good,Good display viewing angles,Display Viewing angles is poor
touch,Smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
picture,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
headphone,Nice,Sound,Earphone Sound quality is superb,Earphone sound quality is poor
Price,Flipkart,Flipkart,It's worth the price,It's not worth the price
video,LED Flash,,Videos recorded with flash are cool,videos recorded with flash are not good
videos,LED Flash,,Videos recorded with flash are cool,videos recorded with flash are not good
Camera,Clarity,Clarity,Camera and picture quality is good,Camera and picture quality is poor
build,Quality,Quality,Good body built quality,Body built not good
picture,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
touch,Smooth,Smooth,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
features,Battery,Battery,,
features,Life,Life,,
fast,App,Apps,Apps,Apps
image,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
Screen,Resolution,Resolution,Good screen resolution and display,Screen resolution and display is poor
Camera,Flash,Flash,Flash performance is good,Poor flash quality
sound,Clear,Clarity,Good sound quality,Poor sound quality
headphone,Noise,Noise,Earphone Sound quality is superb,Earphone sound quality is poor
stylish,Finish,Finish,Stylish,Not so stylish
snapdeal,Buy,,Awesome customer service and delivery by Snapdeal,Snapdeal service and delivery not good
touch,Flawless,,"Touch screen is smooth,fast and sensitive",Touch is insensitive and slow
snapdeal,Prompt,,Quick Delivery,Delayed Delivery
build,Quality,Quality,Good body built quality,Body built not good
Camera,Clarity,Clarity,Camera and picture quality is good,Camera and picture quality is poor
Display,Bright,Bright,Display brightness is perfect,Display brightness is not adequate
built ,Handling,Handling,Good body built quality,Body built not good
built ,quality,Quality,Good body built quality,Body built not good
picture,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
charging,Fast,Fast,Quick charging,Charging issues
interface,Lag,Laggy,Highly responsive and smooth UI,UI is not responsive and smooth
games,Smooth,Smooth,Excellent for gaming,Not good for gaming
fast,Draining,battery drains,,battery drains
sound,Clear,Clarity,Good sound quality,Poor sound quality
laging,RAM,RAM,No lagging problem,Phone lags
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
stylish,Look,Look,Stylish,Not so stylish
sound,Clear,Clarity,Good sound quality,Poor sound quality
sound,Crystal,Clarity,Good sound quality,Poor sound quality
service,Pleasant,,Perfect product delivered,Defective product delivered
build,Quality,Quality,Good body built quality,Body built not good
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
software,Slow,,,
lags,Apps,Apps,No hanging even after installing lot of apps,Phone is hanging after many app installation
Camera,Quality,Quality,Camera and picture quality is good,Camera and picture quality is poor
operating ,used,used,,
operating ,system,system,system,system
features,Price,Price,,
sound,Low,Low,Good sound quality,Poor sound quality
built ,Sharp,Robust,Good body built quality,Body built not good
built ,quality,Quality,Good body built quality,Body built not good
built ,Display,Display,Awesome looks and design,Design and looks not good
built ,quality,Quality,Good body built quality,Body built not good
features,Strong,Strong,,
features,Quality,Quality,,
features,Uptodate,Uptodate,,
